Question,Answer
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Ana, Eve, Ada, Dan, Rob, Amy, and Joe. Dan finished third. Ana finished above Ada. Amy finished last. Dan finished below Rob. Eve finished below Ada. Rob finished below Joe.
Options:
(A) Ana finished third
(B) Eve finished third
(C) Ada finished third
(D) Dan finished third
(E) Rob finished third
(F) Amy finished third
(G) Joe finished third",(D)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are seven vehicles: a bus, a motorcyle, a hatchback, a station wagon, a minivan, a truck, and a limousine. The station wagon is the fourth-newest. The motorcyle is newer than the truck. The station wagon is older than the hatchback. The minivan is newer than the hatchback. The bus is newer than the minivan. The truck is newer than the limousine.
Options:
(A) The bus is the third-oldest
(B) The motorcyle is the third-oldest
(C) The hatchback is the third-oldest
(D) The station wagon is the third-oldest
(E) The minivan is the third-oldest
(F) The truck is the third-oldest
(G) The limousine is the third-oldest",(B)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are seven birds: a hummingbird, a cardinal, a blue jay, an owl, a raven, a quail, and a robin. The hummingbird is to the left of the quail. The robin is to the left of the cardinal. The blue jay is the leftmost. The cardinal is the fourth from the left. The raven is the third from the right. The owl is the third from the left.
Options:
(A) The hummingbird is the second from the right
(B) The cardinal is the second from the right
(C) The blue jay is the second from the right
(D) The owl is the second from the right
(E) The raven is the second from the right
(F) The quail is the second from the right
(G) The robin is the second from the right",(A)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are seven birds: a robin, an owl, a quail, a falcon, a hummingbird, a cardinal, and a crow. The hummingbird is to the left of the falcon. The crow is to the right of the cardinal. The cardinal is the second from the right. The quail is the third from the right. The falcon is to the left of the robin. The owl is the second from the left.
Options:
(A) The robin is the fourth from the left
(B) The owl is the fourth from the left
(C) The quail is the fourth from the left
(D) The falcon is the fourth from the left
(E) The hummingbird is the fourth from the left
(F) The cardinal is the fourth from the left
(G) The crow is the fourth from the left",(A)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells seven fruits: kiwis, plums, mangoes, watermelons, pears, peaches, and oranges. The pears are the third-cheapest. The kiwis are the second-most expensive. The pears are more expensive than the plums. The oranges are less expensive than the kiwis. The mangoes are the third-most expensive. The peaches are the second-cheapest.
Options:
(A) The kiwis are the second-cheapest
(B) The plums are the second-cheapest
(C) The mangoes are the second-cheapest
(D) The watermelons are the second-cheapest
(E) The pears are the second-cheapest
(F) The peaches are the second-cheapest
(G) The oranges are the second-cheapest",(F)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Eli, Eve, Mel, Joe, Mya, Rob, and Ada. Ada finished above Mya. Eli finished below Joe. Eli finished above Eve. Ada finished second-to-last. Mel finished third. Rob finished fourth.
Options:
(A) Eli finished third-to-last
(B) Eve finished third-to-last
(C) Mel finished third-to-last
(D) Joe finished third-to-last
(E) Mya finished third-to-last
(F) Rob finished third-to-last
(G) Ada finished third-to-last",(B)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In a golf tournament, there were seven golfers: Amy, Eve, Ada, Rob, Dan, Mel, and Joe. Joe finished third. Dan finished last. Eve finished first. Mel finished below Rob. Ada finished above Joe. Rob finished third-to-last.
Options:
(A) Amy finished last
(B) Eve finished last
(C) Ada finished last
(D) Rob finished last
(E) Dan finished last
(F) Mel finished last
(G) Joe finished last",(E)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells seven fruits: oranges, loquats, apples, kiwis, mangoes, plums, and peaches. The apples are the second-cheapest. The peaches are the cheapest. The plums are the fourth-most expensive. The loquats are the third-cheapest. The kiwis are more expensive than the mangoes. The oranges are less expensive than the mangoes.
Options:
(A) The oranges are the third-cheapest
(B) The loquats are the third-cheapest
(C) The apples are the third-cheapest
(D) The kiwis are the third-cheapest
(E) The mangoes are the third-cheapest
(F) The plums are the third-cheapest
(G) The peaches are the third-cheapest",(B)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are seven vehicles: a limousine, a truck, a minivan, a tractor, a hatchback, a bus, and a convertible. The convertible is the second-oldest. The tractor is the fourth-newest. The minivan is older than the truck. The truck is older than the limousine. The hatchback is the third-oldest. The bus is newer than the limousine.
Options:
(A) The limousine is the oldest
(B) The truck is the oldest
(C) The minivan is the oldest
(D) The tractor is the oldest
(E) The hatchback is the oldest
(F) The bus is the oldest
(G) The convertible is the oldest",(C)
"The following paragraphs each describe a set of seven objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are seven books: a brown book, a yellow book, a black book, a white book, a green book, an orange book, and a purple book. The purple book is the rightmost. The yellow book is the leftmost. The orange book is the second from the right. The brown book is to the left of the green book. The brown book is to the right of the black book. The white book is the fourth from the left.
Options:
(A) The brown book is the leftmost
(B) The yellow book is the leftmost
(C) The black book is the leftmost
(D) The white book is the leftmost
(E) The green book is the leftmost
(F) The orange book is the leftmost
(G) The purple book is the leftmost",(B)
